number,symbol,name,mass,cpkHexColor,electronConfiguration,electronNegativity,radius,ionRadius,vanDelWaalsRadius,ionizationEnergy,electronAffinity,oxidationStates__001,oxidationStates__002,standardState,bondingType,meltingPoint,boilingPoint,density,family,yearDiscovered,oxidationStates__003,oxidationStates__004,oxidationStates__005,oxidationStates__006,oxidationStates__007,oxidationStates__008,oxidationStates__009,oxidationStates__010
17,Cl,Chlorine,35.453,#1ff01f,[Ne] 3s2 3p5,3.16,99,181,175,1251,-349,-1,1,gas,covalent network,172,239,0,halogen,1774,2,3,4,5,6,7,,
18,Ar,Argon,39.948,#80d1e3,[Ne] 3s2 3p6,null,97,null,188,1521,0,,,gas,atomic,84,87,0,noble gas,1894,,,,,,,,
19,K,Potassium,39.0983,#8f40d4,[Ar] 4s1,0.82,196,138,275,419,-48,1,,solid,metallic,337,1032,0.86,alkali metal,1807,,,,,,,,
20,Ca,Calcium,40.078,#3dff00,[Ar] 4s2,1,174,100,null,590,-2,2,,solid,metallic,1115,1757,1.55,alkaline earth metal,null,,,,,,,,
21,Sc,Scandium,44.955912,#e6e6e6,[Ar] 3d1 4s2,1.36,144,74.5,null,633,-18,1,2,solid,metallic,1814,3103,2.99,transition metal,1876,3,,,,,,,
22,Ti,Titanium,47.867,#bfc2c7,[Ar] 3d2 4s2,1.54,136,86,null,659,-8,-1,2,solid,metallic,1941,3560,4.51,transition metal,1791,3,4,,,,,,
23,V,Vanadium,50.9415,#a6a6ab,[Ar] 3d3 4s2,1.63,125,79,null,651,-51,-1,2,solid,metallic,2183,3680,6.11,transition metal,1803,3,4,,,,,,
24,Cr,Chromium,51.9961,#8a99c7,[Ar] 3d5 4s1,1.66,127,80,null,653,-64,-2,null,solid,metallic,2180,2944,7.14,transition metal,null,1,2,3,4,5,6,,
25,Mn,Manganese,54.938045,#9c7ac7,[Ar] 3d5 4s2,1.55,139,67,null,717,0,-3,-2,solid,metallic,1519,2334,7.47,transition metal,1774,null,1,2,3,4,5,6,7
26,Fe,Iron,55.845,#e06633,[Ar] 3d6 4s2,1.83,125,78,null,763,-16,-2,null,solid,metallic,1811,3134,7.87,transition metal,null,1,2,3,4,5,6,,
27,Co,Cobalt,58.933195,#f090a0,[Ar] 3d7 4s2,1.88,126,74.5,null,760,-64,-1,1,solid,metallic,1768,3200,8.9,transition metal,null,2,3,4,5,,,,
28,Ni,Nickel,58.6934,#50d050,[Ar] 3d8 4s2,1.91,121,69,163,737,-112,-1,1,solid,metallic,1728,3186,8.91,transition metal,1751,2,3,4,,,,,
29,Cu,Copper,63.546,#c88033,[Ar] 3d10 4s1,1.9,138,77,140,746,-118,1,2,solid,metallic,1358,3200,8.92,transition metal,null,3,4,,,,,,
30,Zn,Zinc,65.38,#7d80b0,[Ar] 3d10 4s2,1.65,131,74,139,906,0,2,,solid,metallic,693,1180,7.14,transition metal,1746,,,,,,,,
31,Ga,Gallium,69.723,#c28f8f,[Ar] 3d10 4s2 4p1,1.81,126,62,187,579,-29,1,2,solid,metallic,303,2477,5.9,metal,1875,3,,,,,,,
32,Ge,Germanium,72.64,#668f8f,[Ar] 3d10 4s2 4p2,2.01,122,73,null,762,-119,-4,1,solid,metallic,1211,3093,5.32,metalloid,1886,2,3,4,,,,,
33,As,Arsenic,74.9216,#bd80e3,[Ar] 3d10 4s2 4p3,2.18,119,58,185,947,-78,-3,2,solid,metallic,1090,887,5.73,metalloid,null,3,5,,,,,,
34,Se,Selenium,78.96,#ffa100,[Ar] 3d10 4s2 4p4,2.55,116,198,190,941,-195,-2,2,solid,metallic,494,958,4.82,nonmetal,1817,4,6,,,,,,
35,Br,Bromine,79.904,#a62929,[Ar] 3d10 4s2 4p5,2.96,114,196,185,1140,-325,-1,1,liquid,covalent network,266,332,3.12,halogen,1826,3,4,5,7,,,,
36,Kr,Krypton,83.798,#5cb8d1,[Ar] 3d10 4s2 4p6,null,110,null,202,1351,0,2,,gas,atomic,116,120,0,noble gas,1898,,,,,,,,
37,Rb,Rubidium,85.4678,#702eb0,[Kr] 5s1,0.82,211,152,null,403,-47,1,,solid,metallic,312,961,1.53,alkali metal,1861,,,,,,,,
